trial,author,year,tpos,tneg,cpos,cneg,ablat,alloc,yi,vi
1,Aronson,1948,4,119,11,128,44,random,0.8893113339202054,0.32558476500396133
2,Ferguson & Simes,1949,6,300,29,274,55,random,1.5853886572014306,0.19458112139814385
3,Rosenthal et al,1960,3,228,11,209,42,random,1.3480731482996933,0.4153679653679654
4,Hart & Sutherland,1977,62,13536,248,12619,52,random,1.4415511900213054,0.020010031902247573
5,Frimodt-Moller et al,1973,33,5036,47,5761,13,alternate,0.21754732221129558,0.05121017216963086
6,Stein & Aronson,1953,180,1361,372,1079,44,alternate,0.786115585818864,0.0069056184559087574
7,Vandiviere et al,1973,8,2537,10,619,19,random,1.6208982235983918,0.22301724757231517
8,TPT Madras,1980,505,87886,499,87892,13,random,-0.011952333523840508,0.0039615792978177295
9,Coetzee & Berjak,1968,29,7470,45,7232,27,random,0.4694176487381494,0.056434210463248966
10,Rosenthal et al,1961,17,1699,65,1600,42,systematic,1.3713448034727844,0.07302479361302891
11,Comstock et al,1974,186,50448,141,27197,18,systematic,0.3393588283383906,0.01241221397155972
12,Comstock & Webster,1969,5,2493,3,2338,33,systematic,-0.44591340057137874,0.5325058452001528
13,Comstock et al,1976,27,16886,29,17825,33,systematic,0.017313948216879815,0.0714046596839863
